,Name,date,Country,latitude,longitude,Region
A021IEB,Ebersdorfer See,8/2/2012,Austria,48.16625,15.55001667,3
A022TU,Tuernitz,8/2/2012,Austria,47.92526667,15.47558333,3
A031AN,Annateich,8/3/2012,Austria,47.12238333,15.29078333,6
A032GR,Gruener See,8/3/2012,Austria,47.58156667,15.30746667,6
A033DU,Duerer See,8/3/2012,Austria,47.60476667,15.28268333,6
A041BE,Bergsee,8/4/2012,Austria,47.72481667,14.92388333,3
A042ER,Erlaufsee,8/4/2012,Austria,47.78703333,15.27028333,6
A051OB,Obersee Lunz,8/5/2012,Austria,47.80601667,15.7845,3
A052LU,Lunzer See,8/5/2012,Austria,47.85106667,15.385,3
A061WO,Wolfring Teich,8/6/2012,Austria,48.1841,15.16923333,3
A062PI,Pichlingersee,8/6/2012,Austria,48.23561667,14.38391667,4
A071SE,Seehamer See,1/7/2012,Germany,47.84181667,11.85883333,BY
A072CH,Chiemsee,1/7/2012,Germany,47.8717,12.38658333,BY
A073WA,Waginger See,1/7/2012,Germany,47.92268333,12.80258333,BY
A081MO,Mondsee,8/8/2012,Austria,47.80091667,13.38588333,4
A091WO,Wolfgangsee,8/9/2012,Austria,47.74291667,13.37275,4
A092HA,Hallstatt,8/9/2012,Austria,47.58878333,13.65866667,4
A093GO,Gosausee Vorderer,8/9/2012,Austria,47.52496667,13.4921,4
A101OB,Obertrumer See,8/10/2012,Austria,47.9676,13.075,5
A102WA,Wallersee,8/10/2012,Austria,47.90641667,13.17443333,5
A103FU,Fuschlsee,8/10/2012,Austria,47.80753333,13.25106667,5
A111AU,Augstsee,8/11/2012,Austria,47.65773333,13.78565,6
A112AL,Altausseer See,8/11/2012,Austria,47.638,13.7696,6
A121BO,Bodensee,8/12/2012,Austria,47.37103333,13.82138333,6
A122HU,Huettensee,8/12/2012,Austria,47.3543,13.80955,6
A123OB,Obersee,8/12/2012,Austria,47.35151667,13.81765,6
A131WE,Weissensee,8/13/2012,Austria,46.70561667,13.32015,2
A132OS,Ossiacher See,8/13/2012,Austria,46.65485,13.90088333,2
A141CA,Lago di Cavazzo,8/14/2012,Italy,46.33743333,13.0687,7
A151MI,Millstaetter See,8/15/2012,Austria,46.80868333,13.5196,2
A152WI,Windebensee,8/15/2012,Austria,46.88643333,13.80256667,2
A171KO,Kochelsee,8/17/2012,Germany,47.6424,11.35691667,BY
A172WA,Waichensee,8/17/2012,Germany,47.56793333,11.30466667,BY
A173EI,Eibsee,8/17/2012,Germany,47.45348333,10.98515,BY
A181GA,Lago di Garda,8/18/2012,Italy,45.68611667,10.65843333,20
A182LE,Lago Ledro,8/18/2012,Italy,45.87436667,10.75611667,17
A191GI,Gioveretto,8/19/2012,Italy,46.49191667,10.71755,17
A201SE,Grosser Seefeld-See,8/20/2012,Italy,46.87143333,11.65458333,17
A211BR,Brennersee,8/21/2012,Austria,47.16866667,11.50216667,7
A241TE,Tegernsee,8/24/2012,Germany,47.736,11.71776667,BY
A242PL,Plansee,8/24/2012,Austria,47.47638333,10.82513333,7
A251SC,Schwarzsee,8/25/2012,Austria,46.9654,10.9448,7
A261SI,Silvretta,8/26/2012,Austria,46.91756667,10.9145,7
A271GI,Gigerwaldsee,8/27/2012,Switzerland,46.90613333,9.388266667,SG
A272WA,Walensee,8/27/2012,Switzerland,47.10945,9.184966667,SG
A281KL,Kloentalersee,8/28/2012,Switzerland,47.25966667,9.32,GL
A291AM,Ammersee,8/29/2012,Germany,47.682,11.10633333,BY
A301EG,Eginger See,8/30/2012,Germany,48.71948333,13.27135,BY
A302DR,Dreiburgensee,8/30/2012,Germany,48.73816667,13.35118333,BY
N011EL,Elgsjoe,8/1/2012,Norway,59.59166667,9.354444444,7
N012HJ,Hjartsjaevatnet,8/1/2012,Norway,59.60833333,8.762777778,7
N021OF,Oftevatn,8/2/2012,Norway,59.49638889,8.191666667,7
N022VA,Vaegslivatnet,8/2/2012,Norway,59.76777778,7.3675,9
N023RO,Roldalvatsnet,8/2/2012,Norway,59.82833333,6.806666667,9
N031EI,Eidfjordvadnet,8/3/2012,Norway,60.42583333,7.116944444,9
N032DY,Repsetj?rnane,8/3/2012,Norway,60.38083333,7.432222222,9
N033SK,Skiftessjoeen,8/3/2012,Norway,60.37722222,7.565555556,9
N041ST,Strondafjorden,8/4/2012,Norway,60.965,9.282777778,6
N042RO,Tonsvatnet,8/4/2012,Norway,60.86361111,9.561666667,6
N043MJ,Mjoesa,8/4/2012,Norway,61.72222222,10.43222222,6
N051NO,Nordmesna,8/5/2012,Norway,61.99444444,10.68277778,6
N061HU,Hurdalssjoeen,8/6/2012,Norway,60.32888889,11.12444444,5
N071RD,Roedenssjoeen,8/7/2012,Norway,59.48833333,11.63944444,5
N072JA,Jaernsjoen,8/7/2012,Sweden,59.37277778,12.24833333,17
N073VR,Vaenern,8/7/2012,Sweden,59.37388889,13.39694444,17
N081VT,Vaetsjoen,8/8/2012,Sweden,59.29555556,14.65916667,12
N082TI,Tisaren,8/8/2012,Sweden,58.99611111,15.70277778,12
N083VE,Vaettern,8/8/2012,Sweden,58.46416667,14.92916667,1
N091HO,Hjortsjoen,8/9/2012,Sweden,57.50611111,14.12805556,8
N092FA,Faersjoen,8/9/2012,Sweden,56.97361111,14.44444444,10
N093MO,Moeckeln,8/9/2012,Sweden,56.61805556,14.18138889,10
N101BA,Ballingsioevssjoen,8/10/2012,Sweden,56.23166667,13.88194444,14
N102RI,Oestra Ringsjoen,8/10/2012,Sweden,55.89638889,13.52888889,14
N103YD,Yddingesjoen,8/10/2012,Sweden,55.5525,13.26138889,14
N121SA,Sankelmarker See,8/12/2012,Germany,54.71083333,9.433333333,SH
N122AR,Arenholzer See,8/12/2012,Germany,54.53583333,9.486944444,SH
N23PL,Grosser Ploener See,8/12/2012,Germany,54.85833333,10.42027778,SH
N131RA,Ratzeburger See,8/13/2012,Germany,53.77166667,10.74055556,SH
N132NE,Neukloster See,8/13/2012,Germany,53.86416667,11.70388889,MV
N133ST,Stassower See,8/13/2012,Germany,54.34444444,12.59055556,MV
N141KU,Kummerower See,8/14/2012,Germany,53.79361111,12.81277778,MV
N142MU,Mueritz,8/14/2012,Germany,53.47888889,12.62416667,MV
N143GS,Grosser Stechlinsee,8/14/2012,Germany,53.14111111,13.30277778,BR
N161UN,Unterrucker See,8/16/2012,Germany,53.28388889,13.8475,BR
N162MI,Jezioro Miedwie,8/16/2012,Poland,53.3525,14.92138889,16
N163PI,Jezioro Piecnik,8/16/2012,Poland,53.3425,16.25416667,16
N171JS,Jezioro Jastrowie Wielkie,8/17/2012,Poland,53.41305556,16.85222222,3
N172RY,Rychnowskie,8/17/2012,Poland,53.67638889,17.38638889,12
N173BO,Jezioro Borzechowski,8/17/2012,Poland,53.91444444,18.40083333,12
N181JE,Maly Jeziorak,8/18/2012,Poland,53.60055556,19.55055556,15
N182WU,Jezioro Wulpirski,8/18/2012,Poland,53.725,20.27444444,15
N182ZN,Jezioro Duze Zninskie,8/19/2012,Poland,52.85583333,17.7525,4
N183LA,Jezioro Lasinski,8/18/2012,Poland,53.50583333,19.71388889,4
N191BW,Jezioro Bor¨®wno ,8/19/2012,Poland,53.23583333,18.13138889,4
N193RG,Jezioro Rgielskie,8/19/2012,Poland,52.82861111,17.25055556,3
N201SL,Jezioro Slupeckie,8/20/2012,Poland,52.29611111,17.88777778,3
N202JZ,Jezioro Jeziorsko,8/20/2012,Poland,51.83166667,18.67277778,1
N203GO,Jezioro Goluchowskie,8/20/2012,Poland,51.84055556,17.94416667,3
N211NI,Jezioro Niepruszewskie,8/21/2012,Poland,53.38861111,16.60472222,3
N212WI,Jezioro Wielkie,8/21/2012,Poland,52.31472222,14.985,8
N231PL,Grosser Plessower See,8/23/2012,Germany,52.37305556,12.90861111,BR
N232BH,Bohnenlannder See,8/23/2012,Germany,52.46472222,12.50444444,BR
N233KL,Klessener See,8/23/2012,Germany,52.73194444,12.46083333,BR
N241ZE,Zemminsee,8/24/2012,Germany,52.15694444,13.64388889,BR
N242SE,Senftenberger See,8/24/2012,Germany,51.5125,14.15833333,BR
N243KO,Kossateich,8/24/2012,Germany,51.83,14.65277778,BR
N251BE,Bergwitzsee,8/25/2012,Germany,51.79138889,12.57138889,ST
N252VO,Vollertsee,8/25/2012,Germany,51.10444444,12.52777778,ST
N253KE,Talsperre Kelbra,8/25/2012,Germany,51.42777778,11.16944444,ST
N261LU,Luetschetalsperre,8/26/2012,Germany,50.73361111,10.75666667,TH
N262JU,Juechsen,8/26/2012,Germany,50.47555556,10.51444444,TH
N263WI,Wilder See,8/26/2012,Germany,49.96722222,10.20027778,BY
N271PF,Pfordter See ,8/27/2012,Germany,50.65138889,9.601666667,HE
N272SB,Seeburger See,8/27/2012,Germany,51.51388889,10.15694444,NI
N273ST,Steinhuder Meer,8/27/2012,Germany,52.45222222,9.349722222,NI
N281DU,Duemmer See,8/28/2012,Germany,52.49638889,8.354444444,NI
N282HE,Heiliges Meer,8/28/2012,Germany,52.34888889,7.632777778,NW
O011MI,Mietkowskie,8/1/2012,Poland,50.46711667,16.62243333,6
O012BI,Bialy Kosciol,8/1/2012,Poland,50.72705,17.39516667,10
O021BI,Biestrzynik,8/2/2012,Poland,50.73736667,18.2391,10
O022TU,Turawa,8/2/2012,Poland,50.72059833,18.107185,10
O031ZY,Zywiec,8/3/2012,Poland,49.70508333,19.18228333,13
O032OR,Orava,8/3/2012,Slovak,49.39768333,19.48535,SK031
O041MO,Morskie Oko,8/4/2012,Poland,49.1149,20.0412,5
O042CZ,Czarny Staw,8/4/2012,Poland,49.19023333,20.73933333,5
O043TO,Toporowi Staw,8/4/2012,Poland,49.17,20.0152,5
O051CO,Czersztynskie,8/5/2012,Poland,49.46601667,20.22613333,5
O052VE,Velicke Pleso,8/5/2012,Slovak,49.15628333,20.1566,SK041
O053PO,Popradske Pleso,8/5/2012,Slovak,49.15523333,20.80533333,SK041
O061VE,Velke Hincove Pleso,8/6/2012,Slovak,49.17625,20.60166667,SK041
O062ST,Strebske Pleso,8/6/2012,Slovak,49.12073333,20.57033333,SK041
O071LI,Liptovska Mara,8/7/2012,Slovak,49.10873333,19.54956667,SK031
O072PA,Palcmanska Masa,8/7/2012,Slovak,48.86303333,20.38603333,SK042
O073NY,Nyekladhaza,8/7/2012,Hungary,47.98816667,20.84923333,HU.BZ
O101CI,Cincis Lacula,8/10/2012,Romania,45.69016667,22.86835,23
O102VI,Vidra Lacula,8/10/2012,Romania,45.4242,23.76668333,40
O111BA,Balea,8/11/2012,Romania,45.60303333,24.61436667,40
O121RA,Raura,8/12/2012,Romania,45.9281,24.52966667,35
O122SA,Sacel,8/12/2012,Romania,45.79165,23.94648333,35
O141OS,Ostrov,8/14/2012,Romania,45.51718333,22.8542,23
O151Bu,Bucura,8/15/2012,Romania,45.35831667,22.87611667,23
O161TO,Topolovatu Mare,8/16/2012,Romania,45.78458333,21.6283,38
O181GI,Gilau,8/18/2012,Romania,46.74588333,23.37073333,14
O182FA,Fantanele,8/18/2012,Romania,46.66748333,23.56083333,14
O183SO,Somesul Mic,8/18/2012,Romania,46.75081667,23.47733333,14
O201BA,Baraj Dragan (Floroiu Lacul),8/20/2012,Romania,46.79056667,22.71663333,14
O202SA,Sarbi,8/20/2012,Romania,47.20855,22.13423333,5
O221TI,Tisza-To,8/22/2012,Hungary,47.64965,20.67371667,HU.HE
O222CS,Csecs Halast,8/22/2012,Hungary,47.5591,21.152,HU.HB
O223KV,Kv1 Viztarolo,8/22/2012,Hungary,47.69556667,21.37341667,HU.HB
O231SZ,Szalka,8/23/2012,Hungary,46.27376667,18.63466667,HU.TO
O241PL,Siofok,8/24/2012,Hungary,46.93356667,18.1176,HU.SO
O242VE,Velenci-To,8/24/2012,Hungary,47.19993333,18.60801667,HU.FE
O251KR,Krolova,8/25/2012,Slovak,48.25201667,17.80945,SK022
O252NE,Neusiedlersee,8/25/2012,Austria,47.86545,16.83626667,1
O261RO,Rothsee,8/26/2012,Germany,49.23773333,11.20915,BY
O262BR,Brombachersee Gross,8/26/2012,Germany,49.11895,10.96148333,BY
O263ST,Steinbergersee,8/26/2012,Germany,49.28405,12.15665,BY
O271GA,Grosser Arbersee,8/27/2012,Germany,49.0988,13.1595,BY
O281QU,Quarzengrubensee,8/28/2012,Germany,49.0515,13.3969,BY
O282KA,Kleiner Arbersee,8/27/2012,Germany,49.12761667,13.11725,BY
O283CE,Cerne jezero,8/28/2012,Czech republic,49.18155,13.18651667,11
O301SC,Schiesschweiher,8/30/2012,Germany,49.71335,12.16316667,BY
O302DE,Dechsendorferweiher,8/30/2012,Germany,49.6303,10.95806667,BY
S011BO,Bostalsee,8/1/2012,Germany,49.562925,7.747027778,SL
S012PP,Lac de Pierre Percee ,8/1/2012,France,48.47000556,6.902091667,FR21
S021CH,Reservoir de Charmes,8/2/2012,France,47.91061667,5.382083333,FR21
S022PA,Reservoir de Panthier ,8/2/2012,France,47.23807222,4.631361111,FR26
S023GE,Grand Glareins Etang,8/2/2012,France,45.97345556,4.987661111,FR62
S031BU,Lac du Bouchet ,8/3/2012,France,44.90638333,3.792808333,FR71
S032CP,Lac de Charpal ,8/3/2012,France,44.62333333,3.561916667,FR71
S033NA,Reservoir de Naussac ,8/3/2012,France,44.72966667,3.855055556,FR71
S041VF,Lac de Villefort ,8/4/2012,France,44.44888889,3.929036111,FR71
S042SE,Stausee bei Senechas ,8/4/2012,France,44.31953333,4.47225,FR71
S051VC,Retenue de Vinca ,8/5/2012,France,42.65421667,2.542894444,FR71
S052BA,Lago de Banyoles ,8/5/2012,Spain,42.12281111,2.753080556,940
S081LA,Laguna Altera,8/8/2012,Spain,37.58419444,-3.303991667,935
S082LH,Laguna Hondera,8/8/2012,Spain,37.47527778,-3.293194444,935
S091CA,Embalse de Canales ,8/9/2012,Spain,37.16052778,-3.47735,935
S092BE,Embalse de Beznar ,8/9/2012,Spain,36.91543889,-3.538133333,935
S102LR,Laguna de las Aquas Verdes,8/10/2012,Spain,37.48097222,-3.368361111,935
S111AL,Embalse de Alarcon ,8/11/2012,Spain,39.56593333,-2.112777778,939
S111DUE,Duennbrucksee,9/11/2012,Germany,51.57611111,6.297883333,NW
S112CO,Embalse de Contreras ,8/11/2012,Spain,39.55619722,-1.486980556,939
S112SI,Silbersee II,9/11/2012,Germany,51.79666667,7.21525,NW
S113BY,Baldeneysee,9/11/2012,Germany,51.39873056,7.65722222,NW
S121AR,Embalse de Arenos ,8/12/2012,Spain,40.5843,0.3378,944
S122SJ,Embalse de Sitjar ,8/12/2012,Spain,40.11111111,0.233777778,944
S141SP,Pantano de Sant Ponc,8/14/2012,Spain,41.96375833,1.6031,940
S142BL,Embalse de la Baells,8/14/2012,Spain,42.12659722,1.878416667,940
S151BS,Lac des Bouillouses ,8/15/2012,France,42.56225278,1.997241667,FR71
S153TR,Estany de Trebens ,8/15/2012,France,42.57705556,1.962191667,FR71
S162NO,Barrage de Noubels ,8/16/2012,France,42.72277778,2.574277778,FR71
S162PU,Lac/Barrage de Puyvalador,8/16/2012,France,42.64684167,2.126177778,FR71
S163CM,Lac de Campauleil ,8/16/2012,France,42.71076111,1.854444444,FR71
S171MA,Lac de Matemale ,8/17/2012,France,42.57379167,2.111855556,FR71
S191UT,Embalse de Utxesa,8/19/2012,Spain,41.497325,0.512891667,940
S192BR,Embalse de Barasona ,8/19/2012,Spain,42.12724722,0.311505556,936
S193ME,Embalse de Mediano ,8/19/2012,Spain,42.32342222,0.191716667,936
S201PO,Embalse de Pondiellas,8/20/2012,Spain,42.775875,0.261183333,936
S211BN,Ibon de Banos/ Balneario de Panticosa  ,8/21/2012,Spain,42.76004722,0.236211111,936
S212LU,Embalse de Lunuza,8/21/2012,Spain,42.75444444,0.314619444,936
S213JA,Embalse de Javierrelatre ,8/21/2012,Spain,42.40200833,0.490075,936
S221OR,Lac dOredon ,8/22/2012,France,42.82800278,0.167591667,FR71
S222CL,Lac de Cap de Long ,8/22/2012,France,42.81909444,0.140444444,FR71
S231SN,Embalse de Senet,8/23/2012,Spain,42.58075,0.756425,940
S232ES,Embalse de Escales ,8/23/2012,Spain,42.33544444,0.737972222,940
S233TA,Pantano de Talam ,8/23/2012,Spain,42.231225,0.973419444,940
S251MO,Lac de Montbel ,8/25/2012,France,42.97075833,1.974888889,FR71
S252ET,Retenue de lEstrade ,8/25/2012,France,43.29986944,1.841244444,FR71
S261TE,Lac du Tech ,8/26/2012,France,42.9151,0.2566,FR71
S262LO,Lac de Lourdes ,8/26/2012,France,43.10833611,0.793944444,FR71
S263GM,Lac de la Gimone,8/26/2012,France,43.33627778,0.672358333,FR71
S271TO,Lac du Tondre,8/27/2012,France,44.228,1.459363889,FR71
S272PD,Lac de St-Pardoux,8/27/2012,France,46.37963889,1.295194444,FR24
S273LE,Etang des Levrys ,8/27/2012,France,47.52506667,2.556,FR24
S281PM,Retenue de Pincemaille (Lac des Mousseaux (westside)),8/28/2012,France,47.46236111,0.221633333,FR24
S282TU,Etang de la Tour ,8/28/2012,France,48.659,1.883658333,FR10
S291AT,Lac dAuzon-Temple,8/29/2012,France,48.32801111,4.383611111,FR21
S292GR,Etang des Patis / Grand Etang du Roi,8/29/2012,France,49.89888889,3.740591667,FR22
S301MM,Meerfelder Maar,8/30/2012,Germany,50.10040278,6.76335,RP
S302WM,Weinfelder Maar ,8/30/2012,Germany,50.17463611,6.852013889,RP
S303OL,Oleftalsperre,8/30/2012,Germany,50.49444444,6.4188,RP
S311RU,Rurtalsperre,8/31/2012,Germany,50.63873889,6.440619444,RP
S312ZUE,Zuelpicher See ,8/31/2012,Germany,50.67666667,6.158055556,NW
Z011OB,Obersee-Bodensee,8/1/2012,Germany,47.744011,9.15217,BW
Z021UB,Untersee-Bodensee,8/2/2012,Germany,47.712049,9.73561,BW
Z041SD,Lago di Scandereno,8/4/2012,Italy,42.637357,13.259692,1
Z042CP,Lago Compostoto,8/4/2012,Italy,42.52795,13.370268,1
Z051SC,Lago di Scanno,8/5/2012,Italy,41.918405,13.861786,1
Z052MS,Lago di Montagna Spaccata,8/5/2012,Italy,41.71982,14.12058,1
Z053CV,Lago di Castel San Vincenzo,8/5/2012,Italy,41.647629,14.55703,1
Z061BO,Lago di Bolsena,8/6/2012,Italy,42.537002,11.922102,8
Z062BI,Lago di Bilancino,8/6/2012,Italy,43.981533,11.265477,16
Z071SI,Lago Sillara,8/7/2012,Italy,44.36448,10.7026,6
Z081VE,Lago Verde,8/8/2012,Italy,44.363229,10.9089,6
Z082BL,Lago Ballano,8/8/2012,Italy,44.36935,10.101761,6
Z083PA,Lago Paduli,8/8/2012,Italy,44.348161,10.138432,16
Z111VV,Lago Viverone,8/11/2012,Italy,45.4175,8.48519,13
Z112CD,Lago di Candia,8/11/2012,Italy,45.320539,7.899084,13
Z121CH,Lac du Chevril,8/12/2012,France,45.474943,6.948189,FR62
Z122OU,Lac LOuillette,8/12/2012,France,45.429787,6.99512,FR62
Z131AV,Laghi di Avigliana,8/13/2012,Italy,45.23863,7.393073,13
Z132AG,Lago Agnel,8/13/2012,Italy,45.469644,7.140206,13
Z133CS,Lago Ceresole,8/13/2012,Italy,45.434175,7.22738,13
Z141GM,Lac de Grand Maison,8/14/2012,France,45.224459,6.148078,FR62
Z142VN,Lac Verney,8/14/2012,France,45.146967,6.46658,FR62
Z151LR,Lac du Laffrey,8/15/2012,France,45.21802,5.778334,FR62
Z152PC,Piere Chatel,8/15/2012,France,44.971928,5.772523,FR62
Z153NC,Lac de Notre-Dame de Commiers,8/15/2012,France,45.6604,5.613006,FR62
Z161PD,Lac de Paladru,8/16/2012,France,45.472916,5.552125,FR62
Z162AB,Lac dAiguebelette,8/16/2012,France,45.573416,5.800505,FR62
Z163AC,Lac de Annecy,8/16/2012,France,45.891807,6.139108,FR62
Z171GF,Genfer See,8/17/2012,Switzerland,46.392207,6.258128,GE
Z172NC,Lac de Neuchatel,8/17/2012,Switzerland,46.852684,6.838229,FR
Z191VW,Vierwaldstaetter See,8/19/2012,Switzerland,46.964138,8.482088,NW
Z192AS,Arnisee,8/19/2012,Switzerland,46.770455,8.642899,UR
Z201LI,Schwaerziseeli,8/20/2012,Switzerland,46.563103,8.430137,UR
Z202OA,Oberaarsee,8/20/2012,Switzerland,46.547979,8.276605,VS
Z203TT,Tote See,8/20/2012,Switzerland,46.560962,8.336841,VS
Z211SL,Lago della Sella,8/21/2012,Switzerland,46.568457,8.598457,TI
Z212PI,Lago della Piazza,8/21/2012,Switzerland,46.556583,8.567358,TI
Z221LA,Lago di Lugano,8/22/2012,Italy,46.23797,9.5234,10
Z222CM,Lago di Como,8/22/2012,Italy,46.36552,9.239219,10
Z231LG,Laegh dal Lunghin,8/23/2012,Switzerland,46.416923,9.675281,GR
Z232SG,Lej da Segl,8/23/2012,Switzerland,46.408987,9.704446,GR
Z241PS,Lago di Poschiavo,8/24/2012,Switzerland,46.27354,10.100572,GR
Z242IO,Lago dIseo,8/24/2012,Italy,45.81995,10.88109,10
Z251IA,Lago Dossa ,8/25/2012,Switzerland,46.458117,9.192673,GR
Z252SN,Sufner See,8/25/2012,Switzerland,46.57007,9.380509,GR
Z271WD,Wildsee,8/27/2012,Switzerland,46.468657,9.394237,SG
Z281FD,Feldsee,8/28/2012,Germany,47.869386,8.33346,BW
Z282SU,Schluchsee,8/28/2012,Germany,47.832144,8.13464,BW
Z291BU,See bei Buehl (Pond),8/29/2012,Germany,48.695527,8.93199,BW
Z292MM,Mummelsee,8/29/2012,Germany,48.597519,8.201791,BW
Z293SB,Schwarzenbachtalsperre,8/29/2012,Germany,48.661996,8.313016,BW
Z301WO,Altrheinsee,8/30/2012,Germany,49.57846,8.369489,RP
Z302LA,Laacher See,8/30/2012,Germany,50.406513,7.256366,RP
Z311WN,Wiesensee,8/31/2012,Germany,50.585874,7.991669,RP
Z312KB,Krombachtalsperre,8/31/2012,Germany,50.615857,8.139163,HE
